Source,Target,Weight
6,1,2
7,1,2
8,1,1
9,1,2
11,1,2
15,1,1
16,1,2
17,1,2
23,1,1
25,1,2
27,1,1
29,1,2
30,1,1
33,1,2
36,1,2
37,1,4
5,2,5
6,2,3
8,2,2
9,2,4
13,2,1
14,2,2
15,2,2
16,2,1
18,2,1
22,2,2
23,2,1
24,2,3
25,2,2
30,2,1
32,2,2
33,2,2
34,2,8
21,3,2
26,3,2
31,3,2
35,3,1
36,3,1
37,3,2
7,4,4
8,4,3
15,4,2
16,4,4
20,4,1
28,4,4
29,4,1
30,4,2
32,4,1
10,5,7
12,5,3
14,5,2
18,5,2
23,5,2
26,5,2
31,5,2
35,5,7
11,6,5
12,6,4
13,6,6
14,6,3
15,6,2
24,6,2
26,6,1
27,6,2
29,6,2
30,6,2
31,6,4
32,6,1
36,6,3
17,7,6
19,7,8
20,7,3
22,7,3
27,7,2
28,7,4
18,8,5
20,8,4
21,8,6
22,8,3
25,8,4
27,8,3
30,8,2
33,8,4
37,8,2
23,9,4
24,9,3
26,9,2
29,9,3
32,9,4
36,9,2
